City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
Batagay-Alyta,67.8006,130.4114,11.22,49,78,0.72,RU,1621986870
Barrow,71.2906,-156.7887,-2.99,80,90,2.57,US,1621986591
La Rioja,42.25,-2.5,4.88,86,54,1.45,ES,1621986835
Port Alfred,-33.5906,26.891,17.31,89,69,4.54,ZA,1621986866
Albany,42.6001,-73.9662,23.19,62,99,2.41,US,1621986828
St. George's,12.0564,-61.7485,26.82,78,20,5.14,GD,1621986871
Deputatsky,69.3,139.9,8.71,44,1,7.65,RU,1621986872
Hobart,-42.8794,147.3294,12.23,70,75,1.34,AU,1621986623
Pevek,69.7008,170.3133,0.46,85,99,1.14,RU,1621986836
Siverek,37.755,39.3167,20.34,35,0,3.81,TR,1621986873
Mumbai,19.0144,72.8479,28.99,79,40,3.6,IN,1621986772
Lima,-12.0432,-77.0282,16.4,85,90,0.45,PE,1621986373
Uvinza,-5.1036,30.3911,16.98,79,36,0.5,TZ,1621986730
George Town,5.4112,100.3354,27.42,80,40,2.24,MY,1621986874
Muisne,0.6,-80.0333,25.06,84,74,3.63,EC,1621986874
Fortuna,40.5982,-124.1573,14.99,67,75,3.58,US,1621986713
Chute-aux-Outardes,49.1168,-68.399,10.99,87,90,3.06,CA,1621986875
Saskylakh,71.9167,114.0833,10.43,61,97,3.23,RU,1621986855
Makakilo City,21.3469,-158.0858,27.44,68,90,1.8,US,1621986875
Gazojak,41.1875,61.4036,26.77,28,2,2.51,TM,1621986876
Duluth,46.7833,-92.1066,27.22,21,1,11.83,US,1621986793
San Patricio,28.017,-97.5169,27.8,80,58,7.0,US,1621986665
Jumla,29.2747,82.1838,11.75,83,98,1.51,NP,1621986597
New Norfolk,-42.7826,147.0587,11.3,70,74,1.79,AU,1621986835
Louisville,38.2542,-85.7594,30.0,40,40,4.12,US,1621986808
Turtas,58.9417,69.1325,13.31,75,60,2.61,RU,1621986878
Arraial do Cabo,-22.9661,-42.0278,20.79,60,65,2.43,BR,1621986879
Hofn,64.2539,-15.2082,6.73,87,49,5.01,IS,1621986642
Anchorage,61.2181,-149.9003,21.25,29,1,0.0,US,1621986728
Kavaratti,10.5669,72.642,28.41,76,100,7.35,IN,1621986880
Homer,59.6425,-151.5483,14.55,50,1,8.75,US,1621986780
Pisco,-13.7,-76.2167,19.03,88,75,2.06,PE,1621986595
Iqaluit,63.7506,-68.5145,-2.15,86,75,9.26,CA,1621986881
Bathsheba,13.2167,-59.5167,27.34,61,40,5.7,BB,1621986841
Henties Bay,-22.116,14.2845,17.91,76,0,4.45,NA,1621986686
Vaini,-21.2,-175.2,22.09,88,90,4.12,TO,1621986833
Narrabri,-30.3167,149.7833,19.05,52,40,8.75,AU,1621986882
Kumano,34.3442,132.5894,16.94,69,100,0.41,JP,1621986882
Beringovskiy,63.05,179.3167,0.41,99,100,2.94,RU,1621986874
Port Macquarie,-31.4333,152.9167,14.38,59,23,2.8,AU,1621986883
Cap Malheureux,-19.9842,57.6142,21.37,81,8,1.34,MU,1621986883
Roald,62.5833,6.1333,10.17,87,0,9.26,NO,1621986864
Alta Floresta,-9.8756,-56.0861,23.78,73,75,1.6,BR,1621986884
Bereda,43.2686,-7.5406,7.82,99,100,1.47,ES,1621986885
San Luis,-33.295,-66.3356,12.2,44,1,2.91,AR,1621986844
Payakumbuh,-0.2202,100.6308,21.97,97,79,0.54,ID,1621986886
Iisalmi,63.5592,27.1907,7.01,96,63,1.44,FI,1621986886
Avera,33.194,-82.5271,30.31,41,58,3.65,US,1621986887
Narsaq,60.9167,-46.05,0.83,73,61,1.71,GL,1621986607
Mahina,-17.5065,-149.489,28.87,70,75,2.7,PF,1621986737
Tezu,27.9167,96.1667,26.65,71,85,1.15,IN,1621986856
Salamiyah,35.0113,37.0532,19.75,48,0,2.78,SY,1621986888
Vila Velha,-20.3297,-40.2925,22.75,81,90,1.34,BR,1621986591
Ugoofaaru,5.6667,73.0,28.28,77,100,11.39,MV,1621986888
Tianpeng,30.9866,103.9393,18.16,77,100,2.03,CN,1621986889
Mahébourg,-20.4081,57.7,22.16,88,75,0.0,MU,1621986837
Chiang Khong,20.2613,100.4046,25.45,74,73,0.15,TH,1621986889
Mossamedes,-15.1961,12.1522,23.61,66,0,0.95,AO,1621986890
Ambon City,-3.6954,128.1814,27.08,89,40,5.99,ID,1621986890
Talnakh,69.4865,88.3972,-4.85,94,54,5.48,RU,1621986791
Norden,53.6,7.2,8.19,84,57,1.79,DE,1621986891
Rodeo,38.033,-122.2669,21.6,53,0,0.89,US,1621986891
Hambantota,6.1241,81.1185,27.14,76,96,10.05,LK,1621986892
Okha,53.5739,142.9478,3.53,79,100,3.88,RU,1621986892
Lavrentiya,65.5833,-171.0,3.78,85,64,4.43,RU,1621986893
Victor Harbor,-35.5667,138.6167,14.41,61,38,1.34,AU,1621986893
Pimentel,-6.8367,-79.9342,19.44,85,0,1.34,PE,1621986893
Conde,-7.2597,-34.9075,24.7,88,40,3.28,BR,1621986894
Chui,-33.6971,-53.4616,10.03,82,0,3.05,UY,1621986648
Karlskrona,56.1616,15.5866,7.25,92,79,3.09,SE,1621986895
Vyaz'ma,55.2104,34.2951,10.12,84,96,2.88,RU,1621986895
Brylivka,46.4248,33.1472,13.26,82,36,1.84,UA,1621986896
Hithadhoo,-0.6,73.0833,29.03,66,100,9.0,MV,1621986584
Hasaki,35.7333,140.8333,21.3,63,96,4.61,JP,1621986646
Changde,29.0464,111.6783,18.53,91,99,2.85,CN,1621986897
Kawalu,-7.3817,108.2082,23.41,90,79,0.92,ID,1621986727
Rome,43.2128,-75.4557,23.28,93,100,3.59,US,1621986765
Mount Gambier,-37.8333,140.7667,10.95,71,90,4.12,AU,1621986898
Turukhansk,65.8167,87.9833,-1.42,72,91,7.76,RU,1621986898
Faya,18.3851,42.4509,19.29,41,39,2.0,SA,1621986867
Usinsk,65.9939,57.5281,0.06,70,99,7.22,RU,1621986637
Erzin,36.9559,36.2,19.45,68,0,0.98,TR,1621986879
Sanāwad,22.1833,76.0667,30.9,46,92,7.26,IN,1621986899
Gombong,-7.6072,109.5142,27.13,87,65,1.04,ID,1621986900
Severo-Kuril'sk,50.6789,156.125,3.09,98,100,6.97,RU,1621986638
Le Vauclin,14.5452,-60.8388,27.03,69,20,7.18,MQ,1621986900
Vardø,70.3705,31.1107,2.65,71,47,4.37,NO,1621986901
East London,-33.0153,27.9116,17.89,89,61,5.71,ZA,1621986636
Khani,41.9563,42.9566,10.76,95,79,0.96,GE,1621986902
Nikolskoye,59.7035,30.7861,8.94,86,99,2.91,RU,1621986847
Kirensk,57.7853,108.1119,7.37,63,93,1.51,RU,1621986903
The Pas,53.8251,-101.2541,2.01,75,90,5.5,CA,1621986904
Kloulklubed,7.0419,134.2556,29.28,72,61,1.79,PW,1621986904
Ambanja,-13.6833,48.45,22.01,85,75,1.39,MG,1621986905
Feldbach,46.9531,15.8883,4.98,95,90,1.64,AT,1621986905
Mareeba,-17.0,145.4333,19.17,95,88,0.84,AU,1621986906
Dikson,73.5069,80.5464,-6.11,93,76,3.09,RU,1621986872
Oshkosh,44.0247,-88.5426,25.86,62,75,5.66,US,1621986642
Leeton,-34.5667,146.4,10.03,87,40,4.74,AU,1621986907
Acapulco de Juárez,16.8634,-99.8901,30.22,53,86,4.81,MX,1621986908
Carutapera,-1.195,-46.02,25.8,85,12,3.46,BR,1621986908
Alyangula,-13.8483,136.4192,25.93,73,41,6.4,AU,1621986608
Zaoyang,32.1272,112.7542,18.25,86,100,2.1,CN,1621986909
Antalaha,-14.9003,50.2788,20.22,89,18,2.24,MG,1621986910
Mar del Plata,-38.0023,-57.5575,9.77,61,0,3.13,AR,1621986724
Asău,46.4333,26.4,13.7,100,32,2.13,RO,1621986876
Savannah Bight,16.45,-85.85,26.03,82,97,10.06,HN,1621986840
Stornoway,58.2093,-6.3865,8.94,81,90,5.66,GB,1621986911
Norman Wells,65.282,-126.8329,16.02,21,20,5.14,CA,1621986703
Half Moon Bay,37.4636,-122.4286,18.11,66,20,5.71,US,1621986794
Sisimiut,66.9395,-53.6735,-1.26,64,39,2.32,GL,1621986912
Parkersburg,39.2667,-81.5615,27.61,68,91,1.68,US,1621986913
Clyde River,70.4692,-68.5914,-1.87,86,100,10.29,CA,1621986861
Quatre Cocos,-20.2078,57.7625,21.16,77,19,3.92,MU,1621986913
Baghdad,33.3406,44.4009,24.95,33,0,3.65,IQ,1621986733
Westport,41.1415,-73.3579,18.15,79,79,1.34,US,1621986734
Lorengau,-2.0226,147.2712,26.02,89,100,3.21,PG,1621986914
Agüimes,27.9054,-15.4461,18.35,60,75,9.77,ES,1621986914
Ankara,39.9199,32.8543,14.51,46,0,1.83,TR,1621986739
Camocim,-2.9022,-40.8411,25.46,80,28,4.98,BR,1621986915
Geraldton,-28.7667,114.6,11.23,71,79,7.48,AU,1621986837
Naryan-Mar,67.6713,53.087,-0.51,78,81,4.34,RU,1621986916
Necochea,-38.5473,-58.7368,8.14,59,9,4.84,AR,1621986890
Monrovia,6.3005,-10.7969,27.1,81,99,2.93,LR,1621986917
Barra do Garças,-15.89,-52.2567,25.32,78,0,1.69,BR,1621986739
Lodwar,3.1191,35.5973,27.65,49,51,7.16,KE,1621986686
Lerici,44.0759,9.9112,12.68,90,24,1.79,IT,1621986918
Thinadhoo,0.5333,72.9333,29.05,65,100,9.61,MV,1621986918
Ust'-Omchug,61.15,149.6333,7.86,49,63,5.04,RU,1621986919
Sitka,57.0531,-135.33,10.2,79,96,2.67,US,1621986919
Verkhnyaya Inta,65.9811,60.3094,0.82,75,100,5.68,RU,1621986919
Novyy Urgal,51.0736,132.5642,9.06,77,100,0.84,RU,1621986920
College,64.8569,-147.8028,19.27,31,75,0.45,US,1621986672
Rabat,33.9911,-6.8401,16.58,91,95,4.33,MA,1621986783
Maturin,9.75,-63.1767,25.8,69,37,3.67,VE,1621986921
West Wendover,40.7391,-114.0733,21.56,23,20,3.09,US,1621986921
Akdepe,42.0551,59.3788,20.05,28,2,2.58,TM,1621986922
Kahului,20.8947,-156.47,28.68,68,40,8.75,US,1621986747
Ponta do Sol,32.6667,-17.1,18.02,68,72,2.85,PT,1621986612
Tecpan,14.7623,-90.9947,15.67,87,94,1.46,GT,1621986923
Garoowe,8.4054,48.4845,24.11,69,30,10.43,SO,1621986923
Saint-Philippe,-21.3585,55.7679,20.73,86,50,3.74,RE,1621986862
Benīganj,27.2833,80.45,28.08,44,100,3.09,IN,1621986924
Calafell,41.2,1.5683,15.8,85,61,1.34,ES,1621986924
Lethem,3.3803,-59.7968,24.92,91,99,3.58,GY,1621986924
Ribeira Grande,38.5167,-28.7,18.0,93,100,7.8,PT,1621986911
Plettenberg Bay,-34.0527,23.3716,14.52,88,99,2.34,ZA,1621986725
Pacific Grove,36.6177,-121.9166,16.34,76,28,1.79,US,1621986925
Ancud,-41.8697,-73.8203,12.74,93,100,7.71,CL,1621986620
Cabedelo,-6.9811,-34.8339,25.37,85,25,4.86,BR,1621986926
Tsabong,-26.0217,22.401,14.71,38,50,4.18,BW,1621986927
Vieux Fort,13.7167,-60.95,26.62,69,20,6.17,LC,1621986927
Cabo San Lucas,22.8909,-109.9124,31.04,54,66,5.15,MX,1621986812
Lamu,-2.2717,40.902,25.83,76,17,7.16,KE,1621986928
Linxia Chengguanzhen,35.6003,103.2064,14.26,46,99,1.1,CN,1621986929
Zhalantun,48.0,122.7167,12.62,47,10,4.8,CN,1621986929
Baní,18.2833,-70.3333,23.69,77,19,4.95,DO,1621986863
Broome,42.2506,-75.833,22.64,77,93,3.13,US,1621986917
São José da Coroa Grande,-8.8978,-35.1478,25.29,84,42,3.43,BR,1621986930
Chuguyevka,44.1653,133.8633,15.96,38,9,3.96,RU,1621986931
Malanje,-9.5402,16.341,14.72,57,11,1.15,AO,1621986931
Taltal,-25.4,-70.4833,20.63,54,75,2.03,CL,1621986912
Caravelas,-17.7125,-39.2481,23.34,92,56,3.58,BR,1621986932
Matata,-37.8833,176.75,15.38,55,65,6.35,NZ,1621986932
Mount Isa,-20.7333,139.5,21.87,49,70,6.17,AU,1621986916
Carnarvon,-24.8667,113.6333,10.04,71,94,4.12,AU,1621986838
Cabra,37.4725,-4.4421,18.67,41,2,3.21,ES,1621986906
Natchez,31.5604,-91.4032,27.89,65,90,4.12,US,1621986933
Maragogi,-9.0122,-35.2225,25.1,85,44,3.31,BR,1621986893
Yellowknife,62.456,-114.3525,7.41,39,20,3.09,CA,1621986606
Cairns,-16.9167,145.7667,21.61,94,90,3.6,AU,1621986934
Ihosy,-22.4,46.1167,13.13,94,38,1.15,MG,1621986934
Muriaé,-21.1306,-42.3664,19.26,85,72,1.51,BR,1621986643
Viedma,-40.8135,-62.9967,8.87,43,45,3.42,AR,1621986935
Epiniana,39.1429,21.6134,14.86,39,1,0.18,GR,1621986936
Christchurch,-43.5333,172.6333,11.21,81,5,1.79,NZ,1621986825
Kamaishi,39.2667,141.8833,14.53,61,34,1.38,JP,1621986645
Souillac,-20.5167,57.5167,22.21,88,75,3.77,MU,1621986937
Krasnyy Yar,46.5331,48.3456,17.96,87,41,3.72,RU,1621986937
Omsukchan,62.5333,155.8,3.05,75,97,2.2,RU,1621986939
Āsosa,10.0667,34.5333,19.28,55,16,0.76,ET,1621986939
Tretten,61.3142,10.3007,8.61,93,100,2.25,NO,1621986940
Cidreira,-30.1811,-50.2056,13.57,70,0,4.32,BR,1621986773
Evanston,42.0411,-87.6901,25.67,55,20,2.68,US,1621986674
Zorritos,-3.6805,-80.6782,23.48,84,52,2.78,PE,1621986940
Great Yarmouth,52.6083,1.7305,7.64,91,38,5.06,GB,1621986941
East Chicago,41.6392,-87.4548,27.26,48,75,6.17,US,1621986941
Paamiut,61.994,-49.6678,2.0,72,82,4.0,GL,1621986942
Upernavik,72.7868,-56.1549,1.73,81,82,3.86,GL,1621986915
Oeiras do Pará,-2.0031,-49.8544,25.64,84,82,1.72,BR,1621986943
Kathmandu,27.7167,85.3167,19.12,100,75,1.03,NP,1621986943
Pontianak,-0.0333,109.3333,25.99,94,20,1.02,ID,1621986944
Altay,47.8667,88.1167,19.2,32,3,2.29,CN,1621986725
Torbay,47.6666,-52.7314,7.59,74,90,12.86,CA,1621986655
Province of Mantua,45.1667,10.7833,13.66,75,48,2.68,IT,1621986945
Zima,53.9202,102.0442,7.44,86,100,2.66,RU,1621986945
Aleksandrov Gay,50.147,48.5704,15.63,77,98,6.35,RU,1621986946
Nakatunguru,-2.1167,33.0667,22.81,64,76,4.3,TZ,1621986946
Chapais,49.7834,-74.8492,18.88,88,100,3.59,CA,1621986947
Tingo María,-9.2895,-76.0088,20.39,99,89,0.71,PE,1621986947
Kenai,60.5544,-151.2583,18.05,34,1,2.95,US,1621986886
Luleå,65.5842,22.1547,7.04,76,90,1.03,SE,1621986951
Ponta Delgada,37.7333,-25.6667,19.4,82,20,5.66,PT,1621986705
Kruisfontein,-34.0033,24.7314,12.71,94,81,2.53,ZA,1621986870
Tazovsky,67.4667,78.7,-2.23,70,82,0.9,RU,1621986951
Waitara,-38.925,174.25,12.22,59,0,0.75,NZ,1621986952
Andra,62.5147,65.8878,10.81,74,100,1.75,RU,1621986952
Atambua,-9.1061,124.8925,25.55,70,19,2.13,ID,1621986913
Ushtobe,45.2514,77.9838,18.7,42,0,4.21,KZ,1621986953
Kaitangata,-46.2817,169.8464,8.04,46,100,1.42,NZ,1621986884
Mehamn,71.0357,27.8492,2.19,73,35,2.81,NO,1621986954
Myitkyina,25.3833,97.4,24.02,98,99,0.07,MM,1621986954
Reconquista,-29.15,-59.65,13.41,65,0,2.44,AR,1621986955
Padang,-0.9492,100.3543,25.03,84,94,1.56,ID,1621986789
Lata,40.1629,-8.3327,14.77,81,100,0.39,PT,1621986670
Safi,32.2994,-9.2372,17.41,84,100,4.73,MA,1621986956
Marck,50.949,1.9433,9.13,90,63,5.06,FR,1621986956
Griffith,41.5284,-87.4237,27.46,48,75,2.68,US,1621986957
Yerbogachën,61.2767,108.0108,2.85,71,100,2.59,RU,1621986957
Mt. Pleasant,32.7941,-79.8626,25.45,72,1,0.45,US,1621986713
São Filipe,14.8961,-24.4956,23.69,72,0,3.62,CV,1621986674
Ganzhou,28.8184,115.4327,23.23,88,98,3.55,CN,1621986958
Leningradskiy,69.3833,178.4167,1.76,87,76,4.61,RU,1621986627
Acajutla,13.5928,-89.8275,26.0,75,91,2.81,SV,1621986959
Hong Kong,22.2855,114.1577,28.66,85,69,2.24,HK,1621986853
Krasnyy Kholm,58.0607,37.1203,5.44,89,100,3.07,RU,1621986960
Rafai,4.95,23.9167,20.59,94,60,0.47,CF,1621986960
Jasper,37.2001,-94.3502,22.48,81,100,0.89,US,1621986960
Vostok,46.4856,135.8833,10.83,58,17,4.34,RU,1621986693
Iberia,29.9502,-91.7507,27.03,74,75,4.36,US,1621986859
Namatanai,-3.6667,152.4333,25.83,89,100,2.52,PG,1621986708
Nouadhibou,20.931,-17.0347,18.99,77,9,7.2,MR,1621986942
Imeni Zhelyabova,58.9544,36.5956,3.29,90,80,2.03,RU,1621986962
Salalah,17.0151,54.0924,26.2,79,56,2.64,OM,1621986854
Perevoz,55.5961,44.5446,9.65,80,55,1.67,RU,1621986963
Esperance,-33.8667,121.9,10.91,80,32,4.17,AU,1621986902
Afuá,-0.1567,-50.3867,25.25,88,94,3.06,BR,1621986963
Gouyave,12.1646,-61.7296,26.43,78,20,6.65,GD,1621986964
Daman,20.4167,72.85,28.23,78,66,5.41,IN,1621986964
Tarko-Sale,64.9225,77.785,3.33,59,83,3.8,RU,1621986965
Besançon,47.2488,6.0182,9.26,100,69,3.06,FR,1621986965
Pochutla,15.7432,-96.4661,26.9,59,99,1.91,MX,1621986966
Elko,41.0002,-115.5012,20.35,26,98,4.02,US,1621986966
Los Llanos de Aridane,28.6585,-17.9182,16.74,72,90,7.75,ES,1621986867
Constitución,-35.3333,-72.4167,12.98,81,83,3.65,CL,1621986968
Markova,48.6758,24.4138,10.24,90,55,1.75,UA,1621986969
Honiara,-9.4333,159.95,28.3,72,86,2.36,SB,1621986969
Isangel,-19.55,169.2667,24.06,64,75,5.51,VU,1621986726
Luanda,-8.8368,13.2343,22.88,89,8,3.0,AO,1621986970
West Plains,36.7281,-91.8524,20.22,92,99,2.87,US,1621986970
Alofi,-19.0595,-169.9187,23.94,80,90,7.2,NU,1621986970
Erdenet,49.0333,104.0833,8.0,62,99,2.39,MN,1621986971
Dingle,10.9995,122.6711,27.85,79,100,1.56,PH,1621986652
General Cepeda,25.3833,-101.45,23.67,40,47,4.52,MX,1621986972
Capreol,46.706,-80.9225,22.94,75,75,0.45,CA,1621986972
Pangnirtung,66.1451,-65.7125,-3.86,92,100,0.46,CA,1621986972
Mandalgovi,45.7625,106.2708,7.72,52,48,6.47,MN,1621986666
Yebaishou,41.3975,119.6408,17.56,39,95,2.59,CN,1621986973
Vigrestad,58.5667,5.7,11.8,77,100,4.02,NO,1621986973
Sur,22.5667,59.5289,32.61,41,0,4.41,OM,1621986958
Batagay,67.6333,134.6333,15.21,27,35,3.39,RU,1621986974
Tilichiki,60.4667,166.1,4.59,74,100,4.27,RU,1621986975
Smithers,54.7804,-127.1743,16.18,31,40,3.09,CA,1621986785
Ahipara,-35.1667,173.1667,14.91,66,41,4.29,NZ,1621986976
Mayo,38.8876,-76.5119,21.17,83,79,4.02,US,1621986976
Amahai,-3.3333,128.9167,27.14,83,66,2.73,ID,1621986977
Tevriz,57.509,72.4042,14.35,87,6,2.45,RU,1621986978
Oxapampa,-10.5775,-75.4017,14.25,96,97,1.52,PE,1621986978
Bāzpur,29.15,79.1167,25.26,43,14,2.94,IN,1621986978
Tema,5.667,-0.0166,28.23,78,0,4.08,GH,1621986979
Hīt,33.6416,42.8251,27.56,23,10,5.48,IQ,1621986980
Port Shepstone,-30.7414,30.455,18.97,44,100,2.45,ZA,1621986980
Vanavara,60.34,102.2797,1.83,56,37,2.71,RU,1621986936
Rondonópolis,-16.4708,-54.6356,24.77,63,52,0.87,BR,1621986981
Marzuq,14.4,46.4667,25.11,54,25,1.91,YE,1621986814
Qāzigund,33.6333,75.15,10.99,66,0,0.65,IN,1621986982
Nantucket,41.2835,-70.0995,15.26,83,55,9.7,US,1621986982
Lillooet,50.6856,-121.942,21.42,49,94,1.35,CA,1621986982
Frome,51.2283,-2.3221,6.76,95,46,2.96,GB,1621986983
Topchānchi,23.9,86.2,24.87,86,100,7.86,IN,1621986984
Tuatapere,-46.1333,167.6833,9.9,53,77,1.53,NZ,1621986984
Pechora,65.1472,57.2244,1.49,67,97,5.59,RU,1621986984
Belmonte,-15.8631,-38.8828,26.28,80,19,2.28,BR,1621986927
Kerikeri,-35.2268,173.9474,14.95,79,59,3.13,NZ,1621986986
Chenghai,23.4632,116.768,24.95,94,75,1.0,CN,1621986987
Yueyang,29.3333,113.0919,18.99,97,100,2.94,CN,1621986987
Samarai,-10.6167,150.6667,26.56,68,100,7.14,PG,1621986989
San Policarpo,12.1791,125.5072,28.27,79,97,1.96,PH,1621986989
Klaksvík,62.2266,-6.589,9.51,91,96,7.24,FO,1621986630
Port Hardy,50.6996,-127.4199,11.1,66,75,2.57,CA,1621986839
Codrington,-38.2667,141.9667,12.17,60,96,9.19,AU,1621986618
Tarabha,20.7333,83.65,26.4,59,100,1.65,IN,1621986990
Forsytheganj,52.6333,29.7333,14.33,86,92,4.99,BY,1621986991
Berbera,10.4396,45.0143,30.58,66,37,2.59,SO,1621986991
Ayan,56.45,138.1667,5.06,61,100,0.94,RU,1621986992
Namtsy,62.7161,129.6658,13.06,45,60,0.4,RU,1621986992
Katsuura,35.1333,140.3,20.52,70,86,6.74,JP,1621986920
Noshiro,40.2039,140.0242,14.46,63,42,5.45,JP,1621986993
Znamenskoye,57.1281,73.8282,14.78,78,3,2.94,RU,1621986993
Coyhaique,-45.5752,-72.0662,0.97,93,90,1.54,CL,1621986871
